row ID,row m/z,row retention time,6110_U4_C18POS_start-10.mzML Peak height,6101_U1_C18POS_59.mzML Peak height,6111_U4_C18POS_42.mzML Peak height,6104_U2_C18POS_19.mzML Peak height,6105_U1_C18POS_43.mzML Peak height,6110_U3_C18POS_45.mzML Peak height,6101_U2_C18POS_30.mzML Peak height,6112_U4_C18POS_63.mzML Peak height,6105_U4_C18POS_47.mzML Peak height,6103_U4_C18POS_53.mzML Peak height,6102_U1_C18POS_26_1.mzML Peak height,6109_U4_C18POS_22.mzML Peak height,6113_U4_C18POS_62.mzML Peak height,6110_U2_C18POS_34.mzML Peak height,6105_U3_C18POS_39.mzML Peak height,6103_U3_C18POS_61.mzML Peak height,6113_U3_C18POS_15.mzML Peak height,6113_U2_C18POS_31.mzML Peak height,6104_U3_C18POS_32.mzML Peak height,6104_U4_C18POS_12.mzML Peak height,6111_U1_C18POS_51.mzML Peak height,6102_U3_C18POS_48.mzML Peak height,6108_U4_C18POS_18.mzML Peak height,6106_U4_C18POS_36.mzML Peak height,6101_U4_C18POS_14.mzML Peak height,6104_U1_C18POS_55.mzML Peak height,6102_U4_C18POS_50.mzML Peak height,6109_U3_C18POS_52.mzML Peak height,6109_U1_C18POS_58.mzML Peak height,6111_U3_C18POS_54.mzML Peak height,6105_U2_C18POS_40.mzML Peak height,6109_U2_C18POS_13.mzML Peak height,6111_U2_C18POS_35.mzML Peak height,6108_U2_C18POS_27_1.mzML Peak height,6106_U1_C18POS_23.mzML Peak height,6108_U1_C18POS_44.mzML Peak height,6106_U3_C18POS_20.mzML Peak height,6101_U3_C18POS_29_1.mzML Peak height,6103_U1_C18POS_21.mzML Peak height,6113_U1_C18POS_24.mzML Peak height,6106_U2_C18POS_46.mzML Peak height,6102_U2_C18POS_16.mzML Peak height,6112_U3_C18POS_56.mzML Peak height,6112_U2_C18POS_37.mzML Peak height,6108_U3_C18POS_28_1.mzML Peak height,6110_U1_C18POS_11.mzML Peak height,6112_U1_C18POS_38.mzML Peak height,6103_U2_C18POS_60.mzML Peak height,PB1tryagain_C18POS_4.mzML Peak height,PB2tryagain_C18POS_5.mzML Peak height,PB3tryagain_C18POS_6.mzML Peak height,PooledQC11_C18POS_57.mzML Peak height,PooledQC10_C18POS_49.mzML Peak height,PooledQC6_C18POS_17.mzML Peak height,PooledQC8_C18POS_33.mzML Peak height,PooledQC9_C18POS_41.mzML Peak height,PooledQC12_C18POS_64.mzML Peak height,PrerunPooledQC5tryagain-addednew3_C18POS_14_1.mzML Peak height,PooledQC7_C18POS_25_1.mzML Peak height,
311,249.1070710598628,0.6361119,25862.473,16767.637,23544.043,29438.174,17997.184,36907.367,14626.861,25864.021,22836.635,19019.389,24799.209,3226.829,23447.742,37374.48,19298.098,21717.166,22885.738,13828.193,31389.926,22971.031,10590.054,29556.709,14432.389,16955.709,18440.387,27238.299,23015.0,1813.3135,11859.049,20755.2,18228.943,14121.034,30970.91,32187.326,7219.634,17621.543,13847.541,21015.012,50457.406,12155.723,16910.059,26026.943,11716.539,23727.656,19631.514,16405.334,13318.357,18107.004,0,0,0,20817.639,15139.38,20117.334,17722.518,18863.262,19085.666,16456.95,19522.08,
312,227.1365623691481,0.63734436,31527.508,20492.162,17961.484,20923.627,14903.313,619197.7,26066.701,260768.03,30294.305,29854.457,24115.857,130595.66,236320.98,22327.127,16546.367,371964.3,27014.508,16209.381,21118.146,23707.533,231029.67,20362.24,25978.262,161709.8,24491.455,277821.1,26831.889,75045.25,26276.451,267008.2,314722.88,13169.881,488519.44,34444.41,167863.86,353073.25,237100.2,21810.916,30672.658,25254.486,113333.63,33881.87,179242.19,243678.55,30711.18,33194.28,226599.78,31315.125,1297.816,926.17957,740.0,302384.88,22166.379,22090.178,306778.44,285479.56,202789.98,22371.887,25584.826,
316,182.05745205591398,0.6557655,541.0,1368.2573,0,6504.7505,1033.1301,0,2090.0625,818.16235,0,987.6262,1054.8933,0,0,1472.308,0,0,828.7408,0,9171.715,1419.4702,1428.0375,752.15405,1609.8961,0,7861.239,2759.619,8840.001,6904.458,1548.41,1353.4672,1062.7222,130734.38,0,842.0804,0,2849.3894,1177.225,658.1419,3154.2996,0,968.6922,750.8879,904.3456,0,1335.0837,913.14954,9603.437,1295.8936,0,0,0,4014.551,2796.3857,2761.8835,2155.8472,2532.442,2272.3242,2250.8438,1915.0029,
324,162.1125725498972,0.6419591,137818.16,79497.016,44999.387,73757.68,242254.45,28679.766,21653.89,27147.69,168334.61,52944.41,116125.01,84174.17,146135.03,23499.94,195074.39,54388.008,70798.91,48348.633,98825.67,122817.33,83833.4,244255.8,53431.184,25246.023,96176.5,47205.22,91814.55,66848.695,173524.8,96796.2,187642.45,147254.64,28012.98,136249.81,546543.3,66972.11,47772.223,245394.89,18822.521,193923.94,71452.68,43849.223,29888.172,20177.42,138973.67,113478.96,34222.832,30161.447,1682.0125,1578.0222,1462.152,113145.56,104789.78,109377.91,120801.25,108709.68,115060.25,100044.89,98735.29,
328,76.0757105267191,0.6413781,222148.25,83661.945,139821.44,85018.77,19266.395,168982.45,79913.39,79534.32,78875.37,29370.297,57277.04,18357.0,61236.367,86644.3,76547.51,95831.664,60489.305,806455.5,550480.56,63040.41,65133.9,143002.39,229518.45,36114.574,118742.83,106100.6,115210.54,23371.58,140390.89,154156.67,124148.24,78288.484,148898.72,97534.27,326494.7,110011.766,71005.17,168751.31,559536.5,63278.3,107925.38,64028.76,96277.1,81144.44,78587.1,123654.055,75765.516,93014.07,3982.207,0,0,121904.12,160413.36,119537.65,131143.92,128854.06,121909.59,162813.03,146544.08,
338,114.06706621941693,0.6452559,3925953.5,3069808.2,3389726.5,3358329.8,4507475.0,5180299.0,3491980.2,2505855.2,3541125.2,2039820.5,4408088.5,1660424.5,2888874.8,3002724.8,4190738.5,3614836.2,3382427.8,2029805.9,2581398.2,3711905.2,3318909.0,4647099.0,4064555.8,2815426.8,3448923.5,3733562.8,4276898.5,1539632.2,3578173.0,4826414.5,4515241.5,1498669.2,4385268.0,3657600.0,3340950.2,3590098.8,2985351.8,3438031.5,3791885.2,3331842.8,2078989.1,4666551.0,2745615.5,2452100.8,3416059.8,5075347.5,2036412.2,3584526.2,94262.77,5389.5806,12841.251,3380024.2,3316729.0,3427922.8,3482829.2,3445338.8,3505626.5,3253601.5,3187912.2,
342,227.1255315248744,0.6466689,424948.72,294610.72,361977.28,316054.5,504760.66,654495.8,327715.5,243157.66,356176.72,183605.08,463647.0,171439.03,278945.53,282256.7,458964.12,374813.2,344111.3,168967.42,220461.78,410695.8,343222.78,488648.4,408024.28,241634.67,306483.78,380832.75,435143.03,137895.52,356166.8,559269.9,521249.47,120610.46,459496.78,340164.7,325091.84,330496.62,266659.0,324736.47,444767.5,359005.47,170027.52,520083.28,266629.2,261941.3,347569.3,672756.1,136634.92,358998.38,3205.6172,2629.7058,2823.4133,326529.53,318472.84,338232.88,332842.88,344182.47,315575.9,317028.7,319324.16,
350,193.15477940445106,0.6464269,36824.555,35156.99,21122.883,41174.92,3713.2866,29122.021,34486.34,7068.77,17851.604,3040.219,22992.113,4509.573,62380.75,10014.637,15214.202,16450.926,49235.402,170160.9,49953.652,26666.604,14368.357,62467.94,41414.527,1572.0114,39124.727,34811.047,49397.945,3938.7373,47234.383,36714.004,19879.67,30603.3,29856.83,26313.336,18009.457,29481.547,6772.747,65823.055,17014.355,47722.832,2583.1155,35733.96,11719.068,5596.149,17246.377,20931.748,4877.347,15436.75,872.9758,0,926.21124,25313.65,32320.652,31012.117,26697.96,19693.867,31972.26,39547.652,36904.227,
363,118.08636515620151,0.64883465,111146.72,170379.92,94276.4,221677.34,80307.28,96296.98,179165.83,45665.13,86053.98,45370.785,167856.28,82851.73,379118.7,61621.9,95408.85,62734.47,301325.2,360321.84,177920.33,163449.06,105836.45,264505.3,134828.95,16558.16,195691.6,164313.77,230150.48,62896.36,161940.94,160294.66,83249.56,134725.83,135964.69,134219.81,46560.39,157099.48,32250.375,232188.73,55651.88,287243.97,19434.307,214342.94,45461.258,46875.8,102353.49,96147.6,38742.676,68665.55,28882.773,32804.023,34277.24,135957.03,138695.44,149377.88,135196.11,135584.16,135437.98,140746.2,151629.39,
372,219.17060162230973,0.6506985,31231.879,230532.61,25373.875,504857.9,53860.13,47386.105,445871.22,116644.41,63862.83,12457.831,211688.69,12604.61,13737.61,16043.993,33143.164,20933.604,175528.8,192986.81,1162584.6,132954.45,197001.0,417807.3,328706.66,3063.198,536622.1,504704.6,746005.94,130902.41,86907.9,527078.6,18759.98,2302833.5,238754.19,308681.22,203813.22,624274.56,5701.778,186610.62,85128.92,33386.633,4048.537,143620.7,232573.83,93584.984,89661.48,99776.51,309509.47,114300.56,0,0,0,332689.38,497670.8,395953.0,329789.8,299853.22,377881.25,491431.16,496652.38,
376,114.0666724607198,0.6501534,2226727.5,1581861.1,3389726.5,3437010.8,4507475.0,4573774.0,3340425.8,2505855.2,3541125.2,2039820.5,4408088.5,1660424.5,2888874.8,3002724.8,4190738.5,487668.7,3382427.8,2029805.9,2514240.8,3711905.2,3318909.0,4647099.0,4064555.8,340114.25,3448923.5,2432455.2,4276898.5,1539632.2,3578173.0,4826414.5,4515241.5,1065494.8,3932690.5,3443779.5,3340950.2,3017251.2,2985351.8,3438031.5,498891.88,3166187.8,2078989.1,3383719.0,2745615.5,2452100.8,3416059.8,5075347.5,672550.75,168858.03,94262.77,6804.5776,12841.251,3380024.2,3316729.0,3427922.8,3482829.2,3445338.8,3505626.5,3253601.5,1314254.8,
387,213.12340004207337,0.67262906,19897.387,4352.8022,12355.936,6127.0635,6361.5806,6442.0967,7474.668,3707.618,4738.001,7887.4546,3094.4456,3768.0674,7491.3955,10314.892,6398.287,11677.281,4058.2395,741921.3,121668.07,4940.0728,6404.1523,4831.5244,15840.79,7706.9395,5346.7344,4177.168,6153.5913,4437.348,23202.678,4052.2856,7460.1094,7599.6377,9453.396,6385.065,20491.385,3225.29,9283.6455,7057.4824,11096.673,7736.1997,9213.177,4867.183,5932.8066,5314.7163,6340.001,15797.277,5681.608,7775.782,0,0,0,19931.096,27349.936,29652.387,23750.504,21155.646,21691.012,31027.656,32754.889,
391,138.05506326539702,0.6540135,246085.19,83028.76,130814.586,143328.06,36858.23,83293.9,188395.62,46206.633,97073.35,218214.86,46380.996,246837.06,143428.25,216849.97,56507.21,174254.11,38587.51,1393257.6,302230.72,80067.94,92801.32,39503.566,244262.55,342606.12,125734.35,82832.91,135499.39,107509.305,392292.22,42247.773,123103.984,130986.28,157670.45,181274.6,208254.4,86314.03,242678.1,107825.01,150551.28,43949.84,343657.62,132326.73,63343.44,44222.59,167733.6,283609.06,115579.4,163527.64,2689.762,1711.2545,1227.5377,177719.11,192822.72,197472.05,192038.1,192531.1,200600.08,193925.88,195093.38,
395,203.15024895280146,0.6544744,63529.312,61381.93,79230.125,72713.06,78710.016,103980.21,74313.22,77157.8,63066.816,48207.473,79122.19,41201.37,55262.69,61452.926,81696.016,87214.28,71589.37,48644.48,71768.31,66564.875,63006.82,93429.89,100944.164,43284.9,73617.56,84007.72,69078.836,33198.926,113371.32,85894.516,84426.63,82820.61,91806.63,74048.08,46351.883,81338.33,49632.203,71094.55,116240.914,64884.594,41310.68,82686.65,68937.1,88718.72,83430.8,84197.6,79607.11,91594.31,1236.4886,0,869.5157,71975.586,73465.32,72077.8,72101.48,67470.0,69561.28,68590.04,78163.67,
403,219.18156701846522,0.6529048,2845.7605,17585.611,2369.77,3011.1006,5687.8926,56845.246,26383.055,178239.23,4750.9834,1562.0083,1508.9651,11162.821,6631.124,1578.4213,2939.5408,23823.021,14426.103,14238.364,9546.156,11588.727,86097.54,7754.5967,15181.657,2824.3755,9547.603,357978.9,4302.039,128683.44,8006.9727,178949.2,7465.437,6714.16,221040.56,0,171607.84,564725.9,9768.458,13756.798,8669.68,3000.0005,2729.413,11452.972,109108.26,125828.54,9005.513,8918.629,741059.56,7870.2554,0,0,0,360216.1,16306.392,15988.069,369478.44,365806.3,208997.14,34040.176,32427.516,
406,224.12807173350853,0.68613416,3189.0952,3331.2837,2764.6113,3753.153,8936.11,7822.512,3405.563,3283.216,3840.2544,4314.2856,2770.901,3636.1172,4545.395,2992.3784,4020.346,4137.5957,3622.0657,3689.0208,3428.4277,3689.3054,3147.6648,2994.2603,59871.684,5725.8804,3591.2356,2773.8645,3592.1538,2685.7568,20408.756,2524.3608,4599.2285,4139.0586,3019.3665,6591.6265,6521.558,20076.283,4826.7925,3575.0166,5463.904,3223.331,4131.8,6903.065,5492.5024,3317.535,20520.227,4911.952,3453.0015,3746.936,68124.61,68537.2,76108.71,6585.6987,6163.7646,6572.3555,5402.306,7648.832,5432.716,5770.4556,8032.3276,
410,251.11296886549198,0.66479105,1650.5707,1238.2067,3328.0488,3537.0603,1252.594,3184.2285,2994.3025,1291.4414,1765.3815,1727.3726,2256.9639,1341.4016,2983.1323,1457.6205,1686.526,2384.0527,1989.7787,120234.75,31516.354,1281.6615,3368.0662,1970.7738,3275.646,1392.9688,1688.597,1533.6964,2687.9111,1282.687,2028.1876,2681.8809,1640.6327,2011.0538,3082.7693,4047.952,1324.1757,1339.4465,1100.8933,2198.566,2084.2886,2294.1113,993.60645,3067.5854,1651.0188,1502.6803,1976.7279,2715.1824,1376.0222,2668.07,0,0,0,8154.437,7977.457,8664.256,8233.002,7548.15,6863.9907,8535.416,9576.37,
412,138.06314028985653,0.65913296,16374.623,6216.83,9892.411,10428.8,3889.188,5551.9463,14045.981,3654.1736,8895.247,15737.054,4487.917,16997.035,10720.404,15390.722,5237.6943,14066.471,3697.4631,44309.18,20731.572,6845.1465,8010.038,4381.338,18672.502,26791.46,10380.33,6267.526,11291.244,8902.141,24551.668,4317.967,9833.978,9804.832,11482.233,14782.983,22611.977,6537.7695,23590.744,7931.8457,11483.515,3320.7996,23609.693,10503.328,5245.0615,4109.378,11601.502,19860.37,8761.527,12761.703,0,0,0,14169.388,15151.503,14364.696,14731.284,14245.843,13277.964,14735.986,14857.606,
421,287.1968151940284,0.6553882,0,13445.49,0,53357.316,20111.207,0,35730.29,2173.049,2470.0793,0,26591.006,0,0,0,0,0,12074.495,2281.715,85437.47,8442.679,15873.469,18826.307,4251.9355,0,38171.938,54176.246,138915.52,216992.31,1213.765,34803.82,0,1186195.2,5208.1333,17792.941,1277.0911,76099.28,0,2528.0757,0,0,0,4011.0627,9442.566,4835.3486,3986.5818,2735.067,135463.81,3329.3389,0,0,0,16436.703,25200.008,20882.936,21138.96,19392.123,24603.191,26918.492,28138.168,
422,132.07680899720378,0.6558037,43673.64,84320.06,129045.69,29467.332,83696.164,72119.55,154471.31,21745.107,144892.12,17981.012,44125.566,194486.16,27241.617,20472.926,240640.11,51313.6,48541.547,48406.36,33277.836,52312.766,64239.285,56217.082,54650.082,29772.709,102171.64,45585.95,31750.125,16078.488,132142.17,106080.266,165658.55,34319.23,75158.375,47335.652,42423.746,53236.543,27812.71,190137.83,41376.62,47311.72,11841.1455,58741.52,26468.41,26098.639,46154.484,63256.68,29739.541,46111.598,1642.128,1319.3916,804.5283,63368.426,70828.266,68374.11,64341.742,67122.82,67897.586,65903.48,74437.69,
429,144.10221305103477,0.65693414,78973.68,1039083.44,107517.94,2413154.0,1080873.1,147024.89,2225698.5,390764.5,337543.22,141394.69,1538021.2,231220.86,63930.55,82423.11,208938.36,101872.43,982150.56,364330.66,2125613.2,749965.2,1090104.0,1328578.4,760786.7,42367.406,2249297.0,2326420.5,3450005.8,927441.7,260111.25,1996891.5,119164.164,6633584.0,756015.44,1213564.1,334371.34,2909441.8,43108.938,454750.72,179203.17,167021.27,33689.062,580064.94,808800.5,527793.2,455458.22,367751.62,1368690.6,437332.03,15680.466,1383.7542,4678.525,1164282.1,1488867.1,1473575.5,1410736.0,1423198.6,1468456.4,1555249.5,1518644.8,
432,144.12985745377497,0.6587824,0,46469.484,0,95832.96,46707.273,0,84141.0,0,0,1444.0886,64918.79,0,1545.8936,0,0,1424.6201,42983.082,0,117200.7,0,47913.844,54126.957,22435.576,1552.4615,90785.28,95671.23,128617.58,131161.19,0,75944.63,0,132640.67,29543.988,48710.395,0,112808.4,0,0,0,0,0,14987.321,34231.633,0,0,10690.791,122396.02,0,0,0,0,47847.434,62222.707,62592.67,57159.977,62216.406,63166.37,63111.254,63931.71,
440,287.2084608024016,0.65487134,0,2295.4983,0,7773.2583,2418.9727,0,5305.447,7926.407,0,0,4084.8777,2396.3247,0,0,0,0,1201.8889,0,10407.012,1519.2543,12465.988,2054.7683,0,0,6034.4956,53780.7,13745.711,171748.05,0,27214.479,0,34367.125,3595.8186,2916.6802,2149.4863,55448.56,0,0,0,0,0,696.2994,12727.344,4578.651,0,612.1023,166902.17,0,0,0,0,23341.578,2785.44,3841.4746,18951.668,22554.691,19150.008,4387.6562,3349.3862,
456,144.1099262213587,0.6625343,6184.997,40771.223,8157.9023,35228.082,42704.19,10564.48,39899.07,27390.266,23559.646,10499.69,32521.36,15793.287,6960.116,6598.4297,13907.916,9000.739,42657.52,25689.11,36583.5,37233.914,36764.2,31932.273,35618.254,3991.3386,35995.79,35032.418,38541.023,42030.062,17946.723,39975.152,10419.041,35492.215,34820.04,36869.523,22729.934,33040.617,2947.321,28890.383,13906.93,12126.116,2954.1775,31915.162,12021.845,34205.797,28957.152,26142.107,38508.953,28380.084,1574.2933,0,0,39115.67,36121.168,39847.918,39339.91,37743.06,36552.426,36376.195,37806.438,
463,145.11366748851495,0.6554285,898.2987,6702.689,772.043,13738.64,7088.889,1094.7456,12396.765,2569.8877,2746.1062,1441.3353,10366.326,2274.255,904.8337,840.5309,2226.84,1100.5164,7521.2856,3234.8555,16437.682,4656.198,7177.142,8464.901,6509.412,0,13246.096,10287.102,14953.776,17005.59,3564.076,10316.166,1504.7544,33460.14,5335.0054,8679.596,3286.1633,14187.703,0,3145.693,1525.1285,1430.6029,0,5460.9316,6166.2666,3857.1157,3157.0696,3274.4329,17582.22,3562.457,0,0,0,8232.367,9111.393,10214.017,9915.979,7269.6494,9679.153,9794.147,9584.885,
468,229.1293670308956,0.6619871,17497.201,12993.112,16146.92,24531.94,23268.506,36988.57,25680.502,26291.717,13977.172,17342.223,19968.18,20948.31,45747.004,12364.336,13379.6,40844.562,21029.676,34924.19,48386.21,13054.155,24484.57,32814.953,14557.317,35939.88,16047.421,33599.84,34794.277,14180.454,16232.424,42716.902,43304.63,29857.242,25881.541,16276.525,58355.57,20148.297,32231.63,15603.137,16058.742,23291.055,29758.953,38193.47,24294.855,20630.893,17774.79,28031.252,23202.203,16155.576,0,1091.7557,0,37619.65,20234.227,20306.484,26343.975,41234.42,38820.574,22072.031,20856.629,
