row ID,row m/z,row retention time,PB2tryagain_C18POS_5.mzML Peak height,6101_U4_C18POS_14.mzML Peak height,6110_U2_C18POS_34.mzML Peak height,6104_U2_C18POS_19.mzML Peak height,6109_U4_C18POS_22.mzML Peak height,6111_U1_C18POS_51.mzML Peak height,6110_U3_C18POS_45.mzML Peak height,6105_U1_C18POS_43.mzML Peak height,6111_U4_C18POS_42.mzML Peak height,6113_U2_C18POS_31.mzML Peak height,6105_U2_C18POS_40.mzML Peak height,6109_U1_C18POS_58.mzML Peak height,6113_U4_C18POS_62.mzML Peak height,6102_U1_C18POS_26_1.mzML Peak height,6102_U2_C18POS_16.mzML Peak height,6105_U4_C18POS_47.mzML Peak height,6105_U3_C18POS_39.mzML Peak height,6111_U2_C18POS_35.mzML Peak height,6103_U4_C18POS_53.mzML Peak height,6102_U3_C18POS_48.mzML Peak height,6102_U4_C18POS_50.mzML Peak height,6104_U4_C18POS_12.mzML Peak height,6101_U1_C18POS_59.mzML Peak height,6103_U3_C18POS_61.mzML Peak height,6108_U2_C18POS_27_1.mzML Peak height,6103_U2_C18POS_60.mzML Peak height,6101_U2_C18POS_30.mzML Peak height,6112_U2_C18POS_37.mzML Peak height,6113_U1_C18POS_24.mzML Peak height,6108_U4_C18POS_18.mzML Peak height,6104_U1_C18POS_55.mzML Peak height,6113_U3_C18POS_15.mzML Peak height,6101_U3_C18POS_29_1.mzML Peak height,6106_U3_C18POS_20.mzML Peak height,6106_U2_C18POS_46.mzML Peak height,6108_U1_C18POS_44.mzML Peak height,6111_U3_C18POS_54.mzML Peak height,6112_U4_C18POS_63.mzML Peak height,6109_U3_C18POS_52.mzML Peak height,6110_U1_C18POS_11.mzML Peak height,6110_U4_C18POS_start-10.mzML Peak height,6112_U3_C18POS_56.mzML Peak height,6108_U3_C18POS_28_1.mzML Peak height,6103_U1_C18POS_21.mzML Peak height,6106_U1_C18POS_23.mzML Peak height,6109_U2_C18POS_13.mzML Peak height,6106_U4_C18POS_36.mzML Peak height,6112_U1_C18POS_38.mzML Peak height,PB3tryagain_C18POS_6.mzML Peak height,PooledQC6_C18POS_17.mzML Peak height,PB1tryagain_C18POS_4.mzML Peak height,PooledQC11_C18POS_57.mzML Peak height,PooledQC9_C18POS_41.mzML Peak height,6104_U3_C18POS_32.mzML Peak height,PooledQC10_C18POS_49.mzML Peak height,PooledQC12_C18POS_64.mzML Peak height,PrerunPooledQC5tryagain-addednew3_C18POS_14_1.mzML Peak height,PooledQC8_C18POS_33.mzML Peak height,PooledQC7_C18POS_25.mzML Peak height,
260,227.13621435986056,0.6371345,0,24491.455,22327.127,20923.627,130595.66,231029.67,619197.7,14903.313,26212.594,16209.381,314722.88,26276.451,236320.98,24115.857,33881.87,30294.305,31276.068,488519.44,29854.457,30877.863,24290.084,28869.607,20511.164,371964.3,34444.41,31315.125,26066.701,243678.55,25254.486,25978.262,277821.1,27014.508,21810.916,237100.2,113333.63,353073.25,267008.2,260768.03,86109.84,37002.98,31527.508,179242.19,30711.18,30672.658,167863.86,13169.881,161709.8,226599.78,0,24046.775,1297.816,302384.88,285479.56,21118.146,22166.379,202789.98,26290.203,306778.44,25986.338,
269,136.04822616810304,0.6334292,0,102048.05,190885.72,148123.45,17102.797,62847.062,161329.47,96030.8,98556.83,81741.11,82881.13,80672.49,127705.12,106401.98,100421.98,126386.125,87607.27,136709.4,96775.22,144008.16,121981.75,92052.586,63722.62,101835.016,126660.91,160063.55,77451.87,113909.93,59774.457,76626.09,110310.73,81505.53,94157.14,97358.52,96363.4,84167.23,92285.695,100197.38,12311.156,79021.21,97941.89,64867.348,85877.945,278357.44,64697.047,99225.08,134397.23,83848.016,0,95941.68,1173.0011,97010.56,94948.3,159536.19,102526.46,110262.74,87003.99,98051.74,104324.586,
271,151.14426175676476,0.6351831,0,131466.11,46208.457,97567.0,21474.125,48863.363,105876.516,1664.4862,118058.98,1488340.5,60822.48,115729.83,50406.168,22027.36,30522.047,22547.77,27576.5,111627.81,34167.176,120907.125,85956.914,38171.703,57723.855,55291.992,76089.1,83088.7,79357.44,97922.99,65484.555,319538.72,90532.66,46202.895,226663.94,104219.48,169507.33,103306.28,108657.664,99606.17,20465.79,52988.285,233624.55,141987.5,38951.55,786404.7,456001.53,149847.6,49215.742,129040.66,0,144390.06,1353.7991,145326.1,139838.62,897226.25,186705.64,152696.94,181907.3,143204.31,141385.11,
274,137.07101040746068,0.6361586,0,39086.824,46495.375,26252.992,28759.168,16890.047,29090.062,46187.098,20943.441,39726.21,37211.77,26945.795,52744.688,60596.637,46831.156,58740.25,33124.54,18474.857,16192.178,59177.855,40931.4,34414.78,33764.76,15184.525,24073.15,30466.531,48759.805,33890.727,24465.43,44261.395,23252.008,46568.246,44493.508,48793.766,18398.424,38574.332,37984.473,62565.6,20623.6,44554.9,47637.164,47275.918,32971.01,23302.53,42219.26,44388.254,23512.105,60090.77,0,41268.4,1358.4697,39779.668,35279.883,19566.902,38922.832,40598.543,33424.047,35818.29,39769.74,
276,182.05739559476052,0.65421313,0,7861.239,1472.308,6504.7505,0,1428.0375,0,1180.6722,0,0,1062.7222,1548.41,0,1054.8933,0,1024.9708,0,0,0,1030.03,8840.001,1419.4702,1368.2573,1078.8854,1175.009,2037.948,2688.1606,0,1093.0692,1609.8961,2759.619,0,1126.1868,1390.93,1132.1798,2849.3894,1353.4672,1002.0729,6904.458,0,0,1026.903,1335.0837,3154.2996,1077.1804,130734.38,1325.8889,9603.437,0,2761.8835,0,4014.551,2532.442,9171.715,2796.3857,2272.3242,2250.8438,2155.8472,2912.1982,
282,162.112566344835,0.64190876,1578.0222,96176.5,23499.94,73757.68,84174.17,83833.4,28679.766,242254.45,44999.387,48348.633,187642.45,173524.8,146135.03,116125.01,43849.223,168334.61,195074.39,28012.98,52944.41,244255.8,91814.55,122817.33,79497.016,54388.008,136249.81,30161.447,21653.89,20177.42,193923.94,53431.184,47205.22,70798.91,245394.89,47772.223,71452.68,66972.11,96796.2,27147.69,66848.695,113478.96,137818.16,29888.172,138973.67,18822.521,546543.3,147254.64,25246.023,34222.832,1462.152,109377.91,1682.0125,113145.56,108709.68,98825.67,104789.78,115060.25,100044.89,120801.25,115814.766,
284,76.07567464168561,0.64152074,0,118742.83,86644.3,94024.99,18357.0,65133.9,168982.45,19266.395,139821.44,806455.5,124148.24,140390.89,61236.367,57277.04,82175.19,78875.37,76547.51,148898.72,29370.297,143002.39,115210.54,63040.41,83661.945,95831.664,97534.27,93014.07,79913.39,81144.44,63278.3,245682.9,106100.6,60489.305,168751.31,71005.17,107925.38,110011.766,160906.5,80814.56,23371.58,123654.055,222148.25,96277.1,78587.1,559536.5,326494.7,99697.31,36114.574,75765.516,0,119537.65,3982.207,121904.12,128854.06,550480.56,160413.36,121909.59,162813.03,131143.92,125841.58,
285,162.1221419326828,0.6461812,0,7705.709,2374.0764,6756.952,48836.07,54350.438,20031.434,15791.4795,3745.9211,4805.9893,126900.375,14216.162,10876.626,10889.218,4414.5864,12580.904,15574.657,27997.973,4233.532,17179.393,7820.5635,9207.024,6012.1475,47713.645,10561.595,2286.949,2960.3828,16494.004,15205.677,4742.359,30088.457,6389.2563,18279.303,36197.176,50028.33,50651.914,46312.24,22855.846,33473.152,9269.985,11125.083,14989.448,10404.118,2120.1606,31301.934,10679.535,16931.834,42270.35,0,8984.499,0,9446.514,82190.555,10114.114,9183.625,63241.773,9289.579,85217.12,10124.486,
291,114.06693962603441,0.64511186,6804.5776,3448923.5,3002724.8,3437010.8,1660424.5,3318909.0,5180299.0,4507475.0,3389726.5,2029805.9,4515241.5,3578173.0,2888874.8,4408088.5,4666551.0,3541125.2,4190738.5,4385268.0,2039820.5,4647099.0,4276898.5,3711905.2,3069808.2,3614836.2,3657600.0,3584526.2,3491980.2,2452100.8,3331842.8,4064555.8,3733562.8,3382427.8,3438031.5,2985351.8,2078989.1,3590098.8,4826414.5,2505855.2,1539632.2,5075347.5,3925953.5,2745615.5,3416059.8,3791885.2,3340950.2,1498669.2,2815426.8,2036412.2,12841.251,3427922.8,94262.77,3380024.2,3445338.8,2581398.2,3316729.0,3505626.5,3253601.5,3482829.2,3510541.5,
292,227.1255257369834,0.64661884,2629.7058,306483.78,282256.7,316054.5,171439.03,343222.78,654495.8,504760.66,361977.28,168967.42,521249.47,356166.8,278945.53,463647.0,520083.28,356176.72,458964.12,459496.78,183605.08,488648.4,435143.03,410695.8,294610.72,374813.2,340164.7,358998.38,327715.5,261941.3,359005.47,408024.28,380832.75,344111.3,324736.47,266659.0,170027.52,330496.62,559269.9,243157.66,137895.52,672756.1,424948.72,266629.2,347569.3,444767.5,325091.84,120610.46,241634.67,136634.92,2823.4133,338232.88,3205.6172,326529.53,344182.47,220461.78,318472.84,315575.9,317028.7,332842.88,348859.72,
300,193.15468179635897,0.6459079,0,39124.727,10014.637,41174.92,4509.573,14368.357,29122.021,4471.733,21122.883,170160.9,19879.67,47234.383,62380.75,22992.113,35733.96,17851.604,15214.202,29856.83,3040.219,62467.94,49397.945,26666.604,35156.99,16450.926,26313.336,15436.75,34486.34,5596.149,47722.832,41414.527,34811.047,49235.402,65823.055,6772.747,2583.1155,29481.547,36714.004,7068.77,3938.7373,20931.748,36824.555,11719.068,18403.275,17014.355,18009.457,30603.3,1572.0114,4877.347,0,31012.117,1250.0121,25313.65,26681.46,53479.67,32320.652,31972.26,39547.652,26697.96,25944.844,
307,118.08635950192306,0.6488788,32804.023,195691.6,61621.9,221677.34,82851.73,105836.45,96296.98,80307.28,94276.4,360321.84,83249.56,161940.94,379118.7,167856.28,214342.94,86053.98,95408.85,135964.69,45370.785,264505.3,230150.48,163449.06,170379.92,62734.47,134219.81,68665.55,179165.83,46875.8,287243.97,134828.95,164313.77,301325.2,232188.73,32250.375,19434.307,157099.48,160294.66,45665.13,62896.36,96147.6,111146.72,45461.258,102353.49,55651.88,46560.39,134725.83,16558.16,38742.676,34277.24,149377.88,28882.773,135957.03,142634.44,177920.33,138695.44,144867.75,140746.2,135196.11,140339.25,
316,219.1705274165693,0.6504469,0,536622.1,16043.993,504857.9,12604.61,197001.0,47386.105,53860.13,25373.875,192986.81,18759.98,86907.9,13737.61,211688.69,143620.7,63862.83,33143.164,238754.19,12457.831,417807.3,746005.94,132954.45,230532.61,20933.604,308681.22,114300.56,445871.22,93584.984,33386.633,328706.66,504704.6,175528.8,186610.62,5701.778,4048.537,624274.56,527078.6,116644.41,130902.41,99776.51,31231.879,232573.83,89661.48,85128.92,203813.22,2302833.5,3063.198,309509.47,0,395953.0,0,332689.38,344241.66,1162584.6,497670.8,377881.25,491431.16,329789.8,371152.2,
323,163.12427850708616,0.6537644,0,1013.31866,0,1402.3654,4912.136,4171.4,1832.773,1917.7174,0,0,12171.689,1535.2715,7401.8413,1969.42,1181.8828,1488.3706,1699.48,0,1394.2318,2094.0146,1754.2979,1375.336,1303.6873,3515.0417,1129.2345,0,0,0,1810.4886,0,3372.1975,0,2803.4841,27531.865,31614.139,5833.599,4099.7812,2691.6484,3472.6936,1539.0425,1054.6873,0,1532.0939,2055.778,33292.285,1821.886,70023.47,3751.0,0,6646.1436,0,4418.0415,7645.6274,1074.8356,5968.895,6619.266,5025.503,5201.736,4261.582,
330,213.12339991543902,0.6724771,0,5346.7344,10314.892,6127.0635,3768.0674,6404.1523,6442.0967,6361.5806,12355.936,741921.3,7460.1094,23202.678,7491.3955,3094.4456,4867.183,4738.001,6398.287,9453.396,7887.4546,4831.5244,6153.5913,4940.0728,4352.8022,11677.281,6385.065,7775.782,7474.668,5314.7163,7736.1997,15840.79,4177.168,4058.2395,7057.4824,9283.6455,9213.177,3253.7998,4052.2856,3707.618,4437.348,15797.277,19897.387,5932.8066,6340.001,11096.673,20491.385,7599.6377,7706.9395,5681.608,0,29652.387,0,19931.096,21155.646,121668.07,27349.936,21691.012,31027.656,23750.504,24270.852,
333,203.15023000694265,0.65390176,0,73617.56,61452.926,72713.06,41201.37,63006.82,103980.21,78710.016,79230.125,48644.48,84426.63,113371.32,55262.69,79122.19,82686.65,63066.816,81696.016,91806.63,48207.473,93429.89,69078.836,66564.875,61381.93,87214.28,74048.08,91594.31,74313.22,88718.72,64884.594,100944.164,84007.72,71589.37,71094.55,49632.203,41310.68,81338.33,85894.516,77157.8,33198.926,84197.6,63529.312,68937.1,83430.8,116240.914,46351.883,82820.61,43284.9,79607.11,0,72077.8,1236.4886,71975.586,65169.832,71768.31,73465.32,69561.28,68590.04,72101.48,74510.57,
336,138.05507624714977,0.6540573,1711.2545,125734.35,216849.97,143328.06,246837.06,92801.32,83293.9,36858.23,130814.586,1393257.6,123103.984,392292.22,143428.25,46380.996,132326.73,97073.35,56507.21,157670.45,218214.86,39503.566,135499.39,80067.94,83028.76,174254.11,181274.6,163527.64,188395.62,44222.59,43949.84,244262.55,82832.91,38587.51,107825.01,242678.1,343657.62,86314.03,42247.773,46206.633,107509.305,283609.06,246085.19,63343.44,167733.6,150551.28,208254.4,130986.28,342606.12,115579.4,1227.5377,197472.05,2689.762,177719.11,192531.1,302230.72,192822.72,200600.08,193925.88,192038.1,198854.8,
346,224.1280430496068,0.68702626,68537.2,3591.2356,2992.3784,3753.153,3636.1172,3147.6648,7822.512,8936.11,2764.6113,3689.0208,4599.2285,20408.756,4545.395,2770.901,6903.065,3840.2544,4020.346,3282.1667,4314.2856,2994.2603,3592.1538,3689.3054,3331.2837,4137.5957,6591.6265,3746.936,3405.563,3317.535,3223.331,59871.684,2773.8645,3622.0657,3575.0166,4826.7925,4131.8,20076.283,2524.3608,3517.7136,2685.7568,4911.952,3189.0952,5492.5024,20520.227,5463.904,6521.558,4139.0586,5725.8804,3453.0015,76108.71,6572.3555,68124.61,6585.6987,7648.832,3428.4277,6163.7646,5432.716,5770.4556,5402.306,5699.629,
347,146.08119007958203,0.71019775,1449.2568,54219.133,20781.418,40668.36,99887.98,47173.824,18911.008,40940.215,24872.361,24007.66,30640.75,27099.348,22114.148,45848.523,125525.69,21776.473,25718.527,37159.332,22173.117,30966.44,105016.37,26798.568,43812.707,36640.03,34921.055,29405.654,79537.914,26826.594,28483.24,31768.691,44321.703,30528.7,24834.799,28438.957,20523.223,57980.05,63726.844,34242.84,81084.36,63139.2,18897.375,47294.816,25759.1,26890.781,31602.0,92761.69,32690.756,53246.676,1079.744,39297.7,1547.7972,33745.39,33128.355,35082.824,32532.244,31269.018,35092.543,37895.293,34589.145,
348,141.0658853749546,0.65497446,0,46862.863,27037.74,30959.947,7192.348,15063.315,64934.58,32198.27,12626.202,29969.152,43337.91,45054.9,29905.693,25272.854,30897.943,43810.047,68244.98,15862.986,30187.207,28700.19,28642.127,36778.797,28892.086,81668.984,31165.08,83487.68,83502.59,9769.39,17143.117,29631.227,26029.719,39211.535,51389.67,25503.445,14771.286,29547.633,40834.305,11364.266,9736.889,73269.414,49276.027,29663.031,34091.1,41924.383,36252.297,11256.775,11958.013,9651.501,0,34932.746,1564.3613,31589.545,30761.455,28604.637,32075.223,32689.156,33948.477,31135.277,33159.797,
353,138.06393868381647,0.6554085,0,10380.33,15390.722,10428.8,16997.035,82985.66,82403.78,41550.125,9892.411,44309.18,106494.81,24551.668,142658.55,4487.917,10503.328,8895.247,5237.6943,124662.336,15737.054,4381.338,11291.244,6845.1465,6216.83,14066.471,14782.983,12761.703,14045.981,42206.535,3320.7996,18672.502,82816.42,3697.4631,7931.8457,247520.45,342684.56,82938.12,30615.014,73134.664,130506.63,19860.37,16374.623,65791.81,11601.502,11483.515,193694.34,9804.832,351857.25,143380.98,0,14364.696,0,14169.388,14245.843,20731.572,15151.503,13277.964,14735.986,14731.284,15589.09,
354,287.1967089568552,0.655121,0,38171.938,0,53357.316,0,15873.469,0,20111.207,0,2281.715,0,1213.765,0,26591.006,4011.0627,2470.0793,0,5208.1333,0,18826.307,138915.52,8442.679,13445.49,0,17792.941,3329.3389,35730.29,4835.3486,1307.1154,4251.9355,54176.246,12074.495,2528.0757,0,0,76099.28,34803.82,2173.049,216992.31,2735.067,0,9442.566,3986.5818,0,1277.0911,1186195.2,0,135463.81,0,20882.936,0,16436.703,19392.123,85437.47,25200.008,24603.191,26918.492,21138.96,21855.64,
355,132.07681329283113,0.6556471,1319.3916,102171.64,20472.926,29467.332,194486.16,64239.285,72119.55,83696.164,129045.69,48406.36,165658.55,132142.17,27241.617,44125.566,58741.52,144892.12,240640.11,75158.375,17981.012,56217.082,31750.125,52312.766,84320.06,51313.6,47335.652,46111.598,154471.31,26098.639,47311.72,54650.082,45585.95,48541.547,190137.83,27812.71,11841.1455,53236.543,106080.266,21745.107,16078.488,63256.68,43673.64,26468.41,46154.484,41376.62,42423.746,34319.23,29772.709,29739.541,0,68374.11,1642.128,63368.426,67122.82,33277.836,70828.266,67897.586,65903.48,64341.742,73935.84,
356,144.1022854406941,0.65603584,1383.7542,2249297.0,82423.11,2413154.0,231220.86,1090104.0,147024.89,1080873.1,107517.94,364330.66,119164.164,260111.25,63930.55,1538021.2,580064.94,337543.22,208938.36,756015.44,141394.69,1328578.4,3450005.8,749965.2,1039083.44,101872.43,1213564.1,437332.03,2225698.5,527793.2,167021.27,760786.7,2326420.5,982150.56,454750.72,43108.938,33689.062,2909441.8,1996891.5,390764.5,3699279.8,367751.62,78973.68,808800.5,455458.22,179203.17,334371.34,6633584.0,42367.406,3117459.2,4678.525,1473575.5,15680.466,1164282.1,1423198.6,3052536.2,1488867.1,1468456.4,1555249.5,1410736.0,1487974.5,
375,178.12275881870286,0.65999293,64109.766,2118.6675,2356.1077,1886.463,2309.386,1858.9877,2430.6765,1717.656,1955.041,1579.9222,2777.704,2299.2087,2034.9896,1699.5042,1678.1188,2706.2527,2427.353,2082.855,2696.835,1762.3292,1562.7626,2294.722,1580.1193,2050.9797,1566.9548,2372.5706,2308.8906,2257.9448,1741.5543,1832.0046,1463.5928,1845.7915,2156.7783,1832.8124,2437.9878,1952.6437,2275.7793,1584.6329,1505.0021,2457.34,2511.5417,1783.2042,1949.9877,1911.3097,2178.8123,1114.6808,2494.7764,1508.21,61931.688,1947.2883,68659.44,2584.3254,1686.6497,2113.2126,2102.5425,2764.7876,2640.8264,1577.1201,2020.4095,
382,144.11032785786716,0.6603383,0,35995.79,6598.4297,35228.082,15793.287,36764.2,10564.48,42704.19,8157.9023,25689.11,122492.72,17946.723,57084.047,32521.36,31915.162,23559.646,13907.916,34820.04,10499.69,31932.273,38541.023,37233.914,40771.223,86661.48,36869.523,28380.084,39899.07,34205.797,12126.116,35618.254,35032.418,42657.52,28890.383,41089.855,44933.324,33040.617,39975.152,27390.266,3665613.0,26142.107,6184.997,29481.318,28957.152,13906.93,22729.934,35492.215,40588.22,3778095.8,0,39847.918,1574.2933,39115.67,37743.06,36583.5,36121.168,36552.426,36376.195,39339.91,33363.945,
