row ID,row m/z,row retention time,6110_U2_C18POS_34.mzML Peak height,6101_U4_C18POS_14.mzML Peak height,6109_U1_C18POS_58.mzML Peak height,6105_U3_C18POS_39.mzML Peak height,6105_U1_C18POS_43.mzML Peak height,6109_U4_C18POS_22.mzML Peak height,6113_U4_C18POS_62.mzML Peak height,6101_U1_C18POS_59.mzML Peak height,6103_U4_C18POS_53.mzML Peak height,6105_U2_C18POS_40.mzML Peak height,6111_U4_C18POS_42.mzML Peak height,6110_U3_C18POS_45.mzML Peak height,6104_U3_C18POS_32.mzML Peak height,6102_U1_C18POS_26_1.mzML Peak height,6104_U2_C18POS_19.mzML Peak height,6110_U4_C18POS_start-10.mzML Peak height,6112_U2_C18POS_37.mzML Peak height,6102_U2_C18POS_16.mzML Peak height,6102_U3_C18POS_48.mzML Peak height,6113_U2_C18POS_31.mzML Peak height,6101_U2_C18POS_30.mzML Peak height,6109_U3_C18POS_52.mzML Peak height,6102_U4_C18POS_50.mzML Peak height,6111_U2_C18POS_35.mzML Peak height,6101_U3_C18POS_29_1.mzML Peak height,6112_U4_C18POS_63.mzML Peak height,6111_U3_C18POS_54.mzML Peak height,6105_U4_C18POS_47.mzML Peak height,6113_U1_C18POS_24.mzML Peak height,6108_U1_C18POS_44.mzML Peak height,6110_U1_C18POS_11.mzML Peak height,6112_U3_C18POS_56.mzML Peak height,6108_U4_C18POS_18.mzML Peak height,6103_U3_C18POS_61.mzML Peak height,6108_U2_C18POS_27_1.mzML Peak height,6106_U4_C18POS_36.mzML Peak height,6103_U2_C18POS_60.mzML Peak height,6113_U3_C18POS_15.mzML Peak height,6106_U2_C18POS_46.mzML Peak height,6104_U1_C18POS_55.mzML Peak height,6104_U4_C18POS_12.mzML Peak height,6108_U3_C18POS_28_1.mzML Peak height,6103_U1_C18POS_21.mzML Peak height,6112_U1_C18POS_38.mzML Peak height,6106_U3_C18POS_20.mzML Peak height,6111_U1_C18POS_51.mzML Peak height,6106_U1_C18POS_23.mzML Peak height,6109_U2_C18POS_13.mzML Peak height,PB2tryagain_C18POS_5.mzML Peak height,PB1tryagain_C18POS_4.mzML Peak height,PB3tryagain_C18POS_6.mzML Peak height,PooledQC8_C18POS_33.mzML Peak height,PooledQC11_C18POS_57.mzML Peak height,PooledQC7_C18POS_25.mzML Peak height,PooledQC9_C18POS_41.mzML Peak height,PooledQC12_C18POS_64.mzML Peak height,PooledQC10_C18POS_49.mzML Peak height,PooledQC6_C18POS_17.mzML Peak height,PrerunPooledQC5tryagain-addednew3_C18POS_14_1.mzML Peak height,
301,182.05745922261167,0.6558259,1472.308,7861.239,1548.41,0,1033.1301,0,0,1368.2573,987.6262,1062.7222,0,0,9171.715,1054.8933,6504.7505,541.0,0,750.8879,752.15405,0,2090.0625,6904.458,8840.001,0,658.1419,818.16235,1353.4672,0,0,2849.3894,913.14954,904.3456,1609.8961,0,842.0804,0,1295.8936,828.7408,968.6922,2759.619,1419.4702,1335.0837,3154.2996,9603.437,1177.225,1428.0375,0,130734.38,0,0,0,2155.8472,4014.551,2912.1982,2532.442,2272.3242,2796.3857,2761.8835,2250.8438,
308,162.11256881868164,0.64190876,23499.94,96176.5,173524.8,195074.39,242254.45,84174.17,146135.03,79497.016,52944.41,187642.45,44999.387,28679.766,98825.67,116125.01,73757.68,137818.16,20177.42,43849.223,244255.8,48348.633,21653.89,66848.695,91814.55,28012.98,245394.89,27147.69,96796.2,168334.61,193923.94,66972.11,113478.96,29888.172,53431.184,54388.008,136249.81,25246.023,30161.447,70798.91,71452.68,47205.22,122817.33,138973.67,18822.521,34222.832,47772.223,83833.4,546543.3,147254.64,1578.0222,1682.0125,1462.152,120801.25,113145.56,115814.766,108709.68,115060.25,104789.78,109377.91,100044.89,
313,76.07571298732294,0.6414237,86644.3,118742.83,140390.89,76547.51,19266.395,18357.0,61236.367,83661.945,29370.297,124148.24,139821.44,168982.45,550480.56,57277.04,85018.77,222148.25,81144.44,64028.76,143002.39,806455.5,79913.39,23371.58,115210.54,148898.72,168751.31,79534.32,154156.67,78875.37,63278.3,110011.766,123654.055,96277.1,229518.45,95831.664,97534.27,36114.574,93014.07,60489.305,107925.38,106100.6,63040.41,78587.1,559536.5,75765.516,71005.17,65133.9,326494.7,78288.484,0,3982.207,0,131143.92,121904.12,125841.58,128854.06,121909.59,160413.36,119537.65,162813.03,
324,227.12552003753746,0.64661896,282256.7,306483.78,356166.8,458964.12,504760.66,171439.03,278945.53,294610.72,183605.08,521249.47,361977.28,654495.8,220461.78,463647.0,316054.5,424948.72,261941.3,520083.28,488648.4,168967.42,327715.5,137895.52,435143.03,459496.78,324736.47,243157.66,559269.9,356176.72,359005.47,330496.62,672756.1,266629.2,408024.28,374813.2,340164.7,241634.67,358998.38,344111.3,170027.52,380832.75,410695.8,347569.3,444767.5,136634.92,266659.0,343222.78,325091.84,120610.46,2629.7058,3205.6172,2823.4133,332842.88,326529.53,348859.72,344182.47,315575.9,318472.84,338232.88,317028.7,
326,114.06689517553777,0.645959,3002724.8,3448923.5,3578173.0,4190738.5,4507475.0,1660424.5,2888874.8,3069808.2,2039820.5,4515241.5,3389726.5,4573774.0,2581398.2,4408088.5,3437010.8,3925953.5,2452100.8,4666551.0,4647099.0,2029805.9,3491980.2,1539632.2,4276898.5,4385268.0,3438031.5,2505855.2,4826414.5,3541125.2,3166187.8,3017251.2,5075347.5,2745615.5,4064555.8,3614836.2,3443779.5,2815426.8,3584526.2,3382427.8,2078989.1,2432455.2,3711905.2,3416059.8,3791885.2,2036412.2,2985351.8,3318909.0,3340950.2,1498669.2,6804.5776,94262.77,12841.251,3482829.2,3380024.2,3397868.8,3445338.8,3505626.5,3316729.0,3427922.8,3253601.5,
333,193.15476625297833,0.6464722,10014.637,39124.727,47234.383,15214.202,3713.2866,4509.573,62380.75,35156.99,3040.219,19879.67,21122.883,29122.021,49953.652,22992.113,41174.92,36824.555,5596.149,35733.96,62467.94,170160.9,34486.34,3938.7373,49397.945,29856.83,65823.055,7068.77,36714.004,17851.604,47722.832,29481.547,20931.748,11719.068,41414.527,16450.926,26313.336,1572.0114,15436.75,49235.402,2583.1155,34811.047,26666.604,17246.377,17014.355,4877.347,6772.747,14368.357,18009.457,30603.3,0,872.9758,926.21124,26697.96,25313.65,25944.844,19693.867,25545.822,32320.652,31012.117,39547.652,
345,118.08635503174496,0.6488788,61621.9,195691.6,161940.94,95408.85,80307.28,82851.73,379118.7,170379.92,45370.785,83249.56,94276.4,96296.98,177920.33,167856.28,221677.34,111146.72,46875.8,214342.94,264505.3,360321.84,179165.83,62896.36,230150.48,135964.69,232188.73,45665.13,160294.66,86053.98,287243.97,157099.48,96147.6,45461.258,134828.95,62734.47,134219.81,16558.16,68665.55,301325.2,19434.307,164313.77,163449.06,102353.49,55651.88,38742.676,32250.375,105836.45,46560.39,134725.83,32804.023,28882.773,34277.24,135196.11,135957.03,140339.25,135584.16,135437.98,138695.44,149377.88,140746.2,
352,219.17057821405788,0.6506456,16043.993,536622.1,86907.9,33143.164,53860.13,12604.61,13737.61,230532.61,12457.831,18759.98,25373.875,47386.105,1162584.6,211688.69,504857.9,31231.879,93584.984,143620.7,417807.3,192986.81,445871.22,130902.41,746005.94,238754.19,186610.62,116644.41,527078.6,63862.83,33386.633,624274.56,99776.51,232573.83,328706.66,20933.604,308681.22,3063.198,114300.56,175528.8,4048.537,504704.6,132954.45,89661.48,85128.92,309509.47,5701.778,197001.0,203813.22,2302833.5,0,0,0,329789.8,332689.38,371152.2,299853.22,377881.25,497670.8,395953.0,491431.16,
354,219.18089208597092,0.65237296,1578.4213,32781.44,8006.9727,3285.9585,5687.8926,11162.821,6631.124,18970.254,1562.0083,7465.437,2369.77,4647.1504,9546.156,16130.392,31912.889,2845.7605,125828.54,11452.972,29678.615,15070.284,26383.055,44048.824,16537.9,29946.31,13756.798,178239.23,178949.2,6567.121,3056.2065,564725.9,8918.629,109108.26,24782.504,23823.021,20555.057,0,9522.84,14426.103,2729.413,357978.9,11683.03,9005.513,8669.68,741059.56,9768.458,86097.54,171607.84,36525.05,0,0,0,369478.44,360216.1,25268.994,365806.3,208997.14,28774.346,25699.842,34040.176,
364,213.12338801357285,0.67277473,10314.892,5346.7344,23202.678,6398.287,6361.5806,3768.0674,7491.3955,4352.8022,7887.4546,7460.1094,12355.936,6442.0967,121668.07,3094.4456,6127.0635,19897.387,5314.7163,4867.183,4831.5244,741921.3,7474.668,4437.348,6153.5913,9453.396,7057.4824,3707.618,4052.2856,4738.001,7736.1997,3225.29,15797.277,5932.8066,15840.79,11677.281,6385.065,7706.9395,7775.782,4058.2395,9213.177,4177.168,4940.0728,6340.001,11096.673,5681.608,9283.6455,6404.1523,20491.385,7599.6377,0,0,0,23750.504,19931.096,24270.852,21155.646,21691.012,27349.936,29652.387,31027.656,
366,138.05505734153107,0.6540573,216849.97,125734.35,392292.22,56507.21,36858.23,246837.06,143428.25,83028.76,218214.86,123103.984,130814.586,83293.9,302230.72,46380.996,143328.06,246085.19,44222.59,132326.73,39503.566,1393257.6,188395.62,107509.305,135499.39,157670.45,107825.01,46206.633,42247.773,97073.35,43949.84,86314.03,283609.06,63343.44,244262.55,174254.11,181274.6,342606.12,163527.64,38587.51,343657.62,82832.91,80067.94,167733.6,150551.28,115579.4,242678.1,92801.32,208254.4,130986.28,1711.2545,2689.762,1227.5377,192038.1,177719.11,198854.8,192531.1,200600.08,192822.72,197472.05,193925.88,
368,203.1502331895878,0.6542319,61452.926,73617.56,113371.32,81696.016,78710.016,41201.37,55262.69,61381.93,48207.473,84426.63,79230.125,103980.21,71768.31,79122.19,72713.06,63529.312,88718.72,82686.65,93429.89,48644.48,74313.22,33198.926,69078.836,91806.63,71094.55,77157.8,85894.516,63066.816,64884.594,81338.33,84197.6,68937.1,100944.164,87214.28,74048.08,43284.9,91594.31,71589.37,41310.68,84007.72,66564.875,83430.8,116240.914,79607.11,49632.203,63006.82,46351.883,82820.61,0,1236.4886,869.5157,72101.48,71975.586,74510.57,67470.0,69561.28,73465.32,72077.8,68590.04,
377,224.12806785679211,0.6873087,2992.3784,3591.2356,20408.756,4020.346,8936.11,3636.1172,4545.395,3331.2837,4314.2856,4599.2285,2764.6113,7822.512,3428.4277,2770.901,3753.153,3189.0952,3317.535,6903.065,2994.2603,3689.0208,3405.563,2685.7568,3592.1538,3019.3665,3575.0166,3283.216,2524.3608,3840.2544,3223.331,20076.283,4911.952,5492.5024,59871.684,4137.5957,6591.6265,5725.8804,3746.936,3622.0657,4131.8,2773.8645,3689.3054,20520.227,5463.904,3453.0015,4826.7925,3147.6648,6521.558,4139.0586,68537.2,68124.61,76108.71,5402.306,6585.6987,5699.629,7648.832,5432.716,6163.7646,6572.3555,5770.4556,
383,138.06313764612733,0.65917915,15390.722,10380.33,24551.668,5237.6943,3889.188,16997.035,10720.404,6216.83,15737.054,9833.978,9892.411,5551.9463,20731.572,4487.917,10428.8,16374.623,4109.378,10503.328,4381.338,44309.18,14045.981,8902.141,11291.244,11482.233,7931.8457,3654.1736,4317.967,8895.247,3320.7996,6537.7695,19860.37,5245.0615,18672.502,14066.471,14782.983,26791.46,12761.703,3697.4631,23609.693,6267.526,6845.1465,11601.502,11483.515,8761.527,23590.744,8010.038,22611.977,9804.832,0,0,0,14731.284,14169.388,15589.09,14245.843,13277.964,15151.503,14364.696,14735.986,
387,251.1128266948182,0.6650358,1457.6205,1688.597,2028.1876,1686.526,2778.6174,1341.4016,2983.1323,1238.2067,1988.1772,1793.7784,3328.0488,3184.2285,31516.354,2256.9639,3537.0603,1650.5707,1502.6803,3067.5854,1970.7738,120234.75,2994.3025,1282.687,2687.9111,3082.7693,2198.566,1291.4414,2681.8809,1765.3815,2294.1113,1339.4465,2715.1824,1651.0188,3275.646,2384.0527,4047.952,1392.9688,2668.07,1989.7787,993.60645,1533.6964,1281.6615,1976.7279,2084.2886,1376.0222,1100.8933,3368.0662,1324.1757,2011.0538,0,0,0,8233.002,8154.437,10730.35,7548.15,6863.9907,7977.457,8664.256,8535.416,
390,287.19679506742057,0.65531594,0,38171.938,1213.765,0,20111.207,0,0,13445.49,0,0,0,0,85437.47,26591.006,53357.316,0,4835.3486,4011.0627,18826.307,2281.715,35730.29,216992.31,138915.52,5208.1333,2528.0757,2173.049,34803.82,2470.0793,0,76099.28,2735.067,9442.566,4251.9355,0,17792.941,0,3329.3389,12074.495,0,54176.246,8442.679,3986.5818,0,135463.81,0,15873.469,1277.0911,1186195.2,0,0,0,21138.96,16436.703,21855.64,19392.123,24603.191,25200.008,20882.936,26918.492,
393,132.07680945601845,0.6558477,20472.926,102171.64,132142.17,240640.11,83696.164,194486.16,27241.617,84320.06,17981.012,165658.55,129045.69,72119.55,33277.836,44125.566,29467.332,43673.64,26098.639,58741.52,56217.082,48406.36,154471.31,16078.488,31750.125,75158.375,190137.83,21745.107,106080.266,144892.12,47311.72,53236.543,63256.68,26468.41,54650.082,51313.6,47335.652,29772.709,46111.598,48541.547,11841.1455,45585.95,52312.766,46154.484,41376.62,29739.541,27812.71,64239.285,42423.746,34319.23,1319.3916,1642.128,804.5283,64341.742,63368.426,73935.84,67122.82,67897.586,70828.266,68374.11,65903.48,
399,144.1022074387212,0.65697795,82423.11,2249297.0,260111.25,208938.36,1080873.1,231220.86,63930.55,1039083.44,141394.69,119164.164,107517.94,147024.89,2125613.2,1538021.2,2413154.0,78973.68,527793.2,580064.94,1328578.4,364330.66,2225698.5,927441.7,3450005.8,756015.44,454750.72,390764.5,1996891.5,337543.22,167021.27,2909441.8,367751.62,808800.5,760786.7,101872.43,1213564.1,42367.406,437332.03,982150.56,33689.062,2326420.5,749965.2,455458.22,179203.17,1368690.6,43108.938,1090104.0,334371.34,6633584.0,1383.7542,15680.466,4678.525,1410736.0,1164282.1,1487974.5,1423198.6,1468456.4,1488867.1,1473575.5,1555249.5,
401,144.12984011409102,0.65869766,0,90785.28,0,0,46707.273,0,1545.8936,46469.484,1444.0886,0,0,0,117200.7,64918.79,95832.96,0,0,14987.321,54126.957,0,84141.0,131161.19,128617.58,29543.988,0,0,75944.63,0,0,112808.4,10690.791,34231.633,22435.576,1424.6201,48710.395,1552.4615,0,42983.082,0,95671.23,0,0,0,122396.02,0,47913.844,0,132640.67,0,0,0,57159.977,47847.434,63403.934,62216.406,63166.37,62222.707,62592.67,63111.254,
405,146.08120112170118,0.7105509,20781.418,54219.133,27099.348,25718.527,40940.215,99887.98,22114.148,43812.707,22173.117,30640.75,24872.361,18911.008,35082.824,45848.523,40668.36,18897.375,26826.594,125525.69,30966.44,24007.66,79537.914,81084.36,105016.37,37159.332,24834.799,34242.84,63726.844,21776.473,28483.24,57980.05,63139.2,47294.816,31768.691,36640.03,34921.055,32690.756,29405.654,30528.7,20523.223,44321.703,26798.568,25759.1,26890.781,53246.676,28438.957,47173.824,31602.0,92761.69,1449.2568,1547.7972,0,37895.293,33745.39,34589.145,33128.355,31269.018,32532.244,39297.7,35092.543,
430,145.1136610208177,0.6554774,840.5309,13246.096,3564.076,2226.84,7088.889,2274.255,904.8337,6702.689,1441.3353,1504.7544,772.043,1094.7456,16437.682,10366.326,13738.64,898.2987,3857.1157,5460.9316,8464.901,3234.8555,12396.765,17005.59,14953.776,5335.0054,3145.693,2569.8877,10316.166,2746.1062,1430.6029,14187.703,3274.4329,6166.2666,6509.412,1100.5164,8679.596,0,3562.457,7521.2856,0,10287.102,4656.198,3157.0696,1525.1285,17582.22,0,7177.142,3286.1633,33460.14,0,0,0,9915.979,8232.367,9688.493,7269.6494,9679.153,9111.393,10214.017,9794.147,
432,144.1099198702723,0.6630671,6598.4297,35995.79,17946.723,13907.916,42704.19,15793.287,6960.116,40771.223,10499.69,10419.041,8157.9023,10564.48,36583.5,32521.36,35228.082,6184.997,34205.797,31915.162,31932.273,25689.11,39899.07,42030.062,38541.023,34820.04,28890.383,27390.266,39975.152,23559.646,12126.116,33040.617,26142.107,12021.845,35618.254,9000.739,36869.523,3991.3386,28380.084,42657.52,2954.1775,35032.418,37233.914,28957.152,13906.93,38508.953,2947.321,36764.2,22729.934,35492.215,0,1574.2933,0,39339.91,39115.67,33363.945,37743.06,36552.426,36121.168,39847.918,36376.195,
437,160.13321757073393,0.6615937,16426.182,25178.607,83994.26,61489.46,69699.664,37222.656,38091.93,37449.47,19511.166,51638.207,26386.127,23403.703,32895.105,23758.639,37241.234,29871.852,21765.896,17220.434,41930.15,18685.67,11245.277,22500.94,21652.363,30743.809,55245.29,24867.758,29938.703,64004.695,36164.883,32815.254,37145.492,18609.242,18962.38,23482.963,24345.477,15044.986,19362.217,34259.242,30674.547,15208.154,31427.857,40641.812,9048.164,30151.617,24624.822,23106.953,101102.625,35841.562,1293.5201,1256.0658,1433.0817,31033.916,24473.494,31260.225,29502.867,31754.545,30128.324,32376.223,30359.975,
453,61.03952226468913,0.6629132,401499.0,789264.3,718307.1,702603.1,794932.44,466744.22,440133.78,744197.94,324676.38,777276.6,690864.1,768352.1,804885.2,784929.1,781609.2,781985.1,499582.84,796798.6,717644.75,834101.25,778499.5,363625.47,664710.5,818655.0,811460.0,588284.2,810521.2,516673.78,400944.2,911242.9,954988.5,472628.25,1047197.94,554599.3,823125.94,247748.22,483861.94,668625.4,380235.66,522006.22,588093.44,715919.5,490103.88,517725.94,392659.6,563644.3,675587.6,509073.97,1296.07,11048.877,1750.5243,588002.94,630401.7,674559.25,556035.8,604519.7,533709.56,689707.0,621466.3,
456,217.1546156377297,0.6638868,18444.312,19810.703,84475.96,41308.207,28594.074,39379.734,11484.144,19136.836,14576.112,48589.734,42697.39,23198.53,13436.346,7431.131,10046.859,29063.61,50782.195,10313.347,10080.563,17028.469,19854.588,31147.717,7335.081,44308.367,22021.611,43820.59,42964.715,23925.896,8289.817,72991.945,24529.969,37278.5,139199.62,23526.898,77749.95,6525.268,21719.012,10604.843,6426.9272,13099.747,11290.819,85866.086,17353.023,39690.46,12834.723,32070.447,20837.889,39121.234,1206.0424,1409.0116,0,30337.24,33311.96,32457.512,30008.488,27383.629,31694.055,33549.65,31176.05,
462,204.12313745627154,0.66536045,33222.277,120584.51,279600.78,218851.0,274169.97,143365.53,189679.05,250668.89,74576.89,261043.53,34180.633,23989.373,97390.95,115474.6,88719.1,160142.5,17022.34,52398.85,191743.64,48965.875,31643.768,53031.785,107204.125,20035.307,265223.22,17834.459,66599.87,242477.0,252915.38,64359.99,113094.51,22399.201,48776.51,62818.97,88139.914,17572.434,27208.92,85885.516,44261.707,101501.14,355746.78,134563.55,15400.558,31026.328,61624.52,71721.99,448036.97,140851.53,1931.5555,1885.1285,2306.1787,108411.05,105912.555,107820.56,101533.74,107318.84,99532.15,111070.04,110910.15,
