row ID,row m/z,row retention time,6110_U2_C18POS_34.mzML Peak height,6101_U4_C18POS_14.mzML Peak height,6109_U1_C18POS_58.mzML Peak height,6105_U3_C18POS_39.mzML Peak height,6105_U1_C18POS_43.mzML Peak height,6109_U4_C18POS_22.mzML Peak height,6113_U4_C18POS_62.mzML Peak height,6101_U1_C18POS_59.mzML Peak height,6103_U4_C18POS_53.mzML Peak height,6105_U2_C18POS_40.mzML Peak height,6111_U4_C18POS_42.mzML Peak height,6110_U3_C18POS_45.mzML Peak height,6104_U3_C18POS_32.mzML Peak height,6102_U1_C18POS_26_1.mzML Peak height,6104_U2_C18POS_19.mzML Peak height,6110_U4_C18POS_start-10.mzML Peak height,6112_U2_C18POS_37.mzML Peak height,6102_U2_C18POS_16.mzML Peak height,6102_U3_C18POS_48.mzML Peak height,6113_U2_C18POS_31.mzML Peak height,6101_U2_C18POS_30.mzML Peak height,6109_U3_C18POS_52.mzML Peak height,6102_U4_C18POS_50.mzML Peak height,6111_U2_C18POS_35.mzML Peak height,6101_U3_C18POS_29_1.mzML Peak height,6112_U4_C18POS_63.mzML Peak height,6111_U3_C18POS_54.mzML Peak height,6105_U4_C18POS_47.mzML Peak height,6113_U1_C18POS_24.mzML Peak height,6108_U1_C18POS_44.mzML Peak height,6110_U1_C18POS_11.mzML Peak height,6112_U3_C18POS_56.mzML Peak height,6108_U4_C18POS_18.mzML Peak height,6103_U3_C18POS_61.mzML Peak height,6108_U2_C18POS_27_1.mzML Peak height,6106_U4_C18POS_36.mzML Peak height,6103_U2_C18POS_60.mzML Peak height,6113_U3_C18POS_15.mzML Peak height,6106_U2_C18POS_46.mzML Peak height,6104_U1_C18POS_55.mzML Peak height,6104_U4_C18POS_12.mzML Peak height,6108_U3_C18POS_28_1.mzML Peak height,6103_U1_C18POS_21.mzML Peak height,6112_U1_C18POS_38.mzML Peak height,6106_U3_C18POS_20.mzML Peak height,6111_U1_C18POS_51.mzML Peak height,6106_U1_C18POS_23.mzML Peak height,6109_U2_C18POS_13.mzML Peak height,PB2tryagain_C18POS_5.mzML Peak height,PB1tryagain_C18POS_4.mzML Peak height,PB3tryagain_C18POS_6.mzML Peak height,PooledQC8_C18POS_33.mzML Peak height,PooledQC11_C18POS_57.mzML Peak height,PooledQC7_C18POS_25.mzML Peak height,PooledQC9_C18POS_41.mzML Peak height,PooledQC12_C18POS_64.mzML Peak height,PooledQC10_C18POS_49.mzML Peak height,PooledQC6_C18POS_17.mzML Peak height,PrerunPooledQC5tryagain-addednew3_C18POS_14_1.mzML Peak height
11,127.0238777,0.5180077,1556.747,6319.3936,8737.692,0,0,2160.4895,8450.489,10670.382,4849.673,5919.845,4426.537,10737.36,5409.042,2211.0293,1892.4991,3746.9045,3985.0974,2536.3328,10444.472,0,11010.765,2034.7131,1915.8224,10446.3955,1752.4253,0,21483.383,2238.8196,5314.271,8059.7324,0,1742.307,7976.74,3860.1167,1705.9913,1578.8257,2541.4822,1769.575,3040.3518,6065.5566,14314.691,8356.84,0,4121.459,2956.66,1699.9585,2067.9656,3181.2937,0,0,0,6747.029,7120.1646,0,5847.324,6045.225,0,4933.592,3399.1406
12,147.1127965,0.53959924,2433.233,7500.161,9808.681,16983.906,10590.299,7582.502,22400.164,9275.137,3154.5312,10396.66,29564.635,4374.3486,16698.283,2502.3606,15478.766,5887.398,9233.722,2966.8071,3755.8218,48404.98,8520.801,4814.2495,3394.52,14833.34,9006.571,6981.5156,80380.67,13017.422,19481.693,4994.8335,5775.9146,8249.328,6266.511,8145.8193,9873.721,3235.435,4764.2124,24418.521,3940.893,22419.053,30139.242,9043.255,2843.5723,6125.8027,6903.0957,27490.592,9969.604,7410.876,0,0,0,9910.762,11295.954,12257.219,10869.492,11148.728,13673.44,11805.319,9851.761
13,224.128035,0.54065335,24559.865,23792.451,24575.543,22290.703,22564.107,22109.738,25016.008,21513.861,21825.975,20633.697,22882.104,19016.162,21505.125,26616.197,22883.182,28882.412,20839.713,21220.025,18796.637,22667.016,19251.26,29419.705,24448.06,22870.158,24368.855,19055.365,22114.484,29824.955,24254.24,19906.207,27470.756,25571.043,17229.672,20845.803,24578.072,25328.156,21011.822,22660.375,23319.404,23761.06,23289.959,21987.248,26582.627,23835.736,23794.326,25778.256,31602.113,27243.723,26909.447,31810.344,28519.963,22763.77,23085.09,22134.201,21600.709,22777.629,29626.533,21348.191,33116.605
14,140.0681536,0.54489213,15022.195,9500.502,13271.316,11989.931,14925.055,11058.651,14855.52,13384.827,12495.673,10271.295,14116.158,11552.705,13813.726,10545.029,12638.232,12045.205,14292.881,8906.377,12453.593,14615.224,11329.484,12087.67,12006.282,13065.283,11286.557,14093.392,15609.618,15422.453,13557.746,9510.9795,10274.061,11739.5625,8635.094,14906.923,12750.074,8607.464,11187.282,15411.048,11418.156,13046.904,11296.814,11208.893,10921.38,12367,10333.019,10741.859,11493.861,11741.319,9512.593,14900.668,8623.126,11487.711,12523.807,11232.035,9117.214,12708.794,16333.332,15801.286,11769.015
15,110.008654,0.56674355,2430.325,13107.989,15812.577,12428.649,11318.816,13469.704,12244.456,29726.1,110750.695,19312.693,18340.064,188608.97,10813.423,29395.07,3224.9397,14933.413,10433.793,26680.736,29297.941,15634.903,242109.19,47004.383,20716.236,30338.86,19843.482,5050.603,16247.629,46556.11,17417.234,206645.33,28215.146,11271.935,185538.05,104824.09,191004.17,12772.491,4491.929,17411.098,13682.143,8592.749,14647.082,20899.293,4433.497,9345.431,13966.477,12599.003,9414.05,9791.057,9742.484,14781.154,15394.235,11836.441,12541.72,12305.083,12401.9375,10180.013,168328.38,14062.267,9459.201
16,84.95960573,0.5693617,0,0,0,0,0,2580.4563,1885.1484,4360.8477,0,8499.801,1991.017,1619.8892,2750.304,2387.8179,0,1615.8892,0,3358.2305,2063.0464,2686.1892,1221.2961,1974.4688,0,2323.8882,0,2957.027,2893.367,0,2566.0718,0,1499.111,0,0,3594.082,2171.1226,3653.125,1840.027,4837.9595,5063.6875,0,1223.8966,0,0,0,3855.8557,1700.4355,2926.421,0,45619.344,47440.26,46012,0,0,0,4258.3564,0,0,0,0
17,430.9136726,0.5514348,26781.727,15520.431,11861.903,22389.035,26157.885,7874.6675,28323.541,20251.406,32562.023,19660.342,23727.115,23431.24,30553.117,23394.268,25861.72,17172.557,28512.012,19580.111,32191.129,24464.213,18235.96,5702.3257,15778.071,19171.002,22070.38,28890.049,23730.795,24202.94,31675.273,17814.373,20249.969,19504.291,9773.327,25688.979,26965.271,13460.992,23104.256,27371.904,29160.498,24547.105,24325.104,18360.46,29447.416,20471.46,19600.504,20252.322,11175.123,8272.905,0,1296.8439,0,20042.342,22576.428,17501.25,21425.781,22191.527,29280.412,21183.137,21286.055
18,959.965493,0.55082625,12671.862,14812.653,11875.766,9154.556,10331.471,14748.46,7008.5015,12327.919,7683.1733,8154.768,8384.659,8728.003,7852.734,10481.772,12206.086,21811.443,9114.745,12087.268,6748.754,7505.9434,9821.681,11901.344,10519.752,8859.523,9099.021,7776.391,5619.0806,10610.573,10906.728,8219.474,12926.044,8462.444,12523.001,8221.271,8288.321,13661.311,7195.469,8919.326,9551.835,7618.809,10604.006,10685.067,12353.161,10956.63,14441.48,8967.717,16394.283,20017.342,14903.686,16022.424,13907.187,10274.228,7835.5386,10058.17,13503.203,7677.372,9999.108,14171.488,12917.218
19,226.9617952,0.5525995,13287.297,7344.8706,7909.1064,11098.885,13523.7705,5211.353,13595.95,9095.159,12957.082,10480.515,10406.742,9373.036,13461.07,11373.793,12523.291,9647.133,12612.051,8777.286,12048.58,10952.682,8707.058,3317.8167,9838.709,10230.083,8888.57,13036.294,12560.418,9373.966,13506.373,9829.704,7993.9097,8416.155,7404.569,13399.252,12896.823,5882.184,11627.057,11037.285,12851.992,10606.151,9480.827,8965.248,11295.985,11393.717,7685.4873,9131.77,6161.4946,4704.9077,0,0,0,10137.062,11258.444,9898.015,10263.852,11559.401,12596.829,9820.148,10986.052
20,446.8876308,0.5525679,16039.018,16001.824,13152.845,13107.775,12392.445,14698.375,14450.677,12446.332,14686.218,12287.512,12050.705,11918.844,12531.292,13790.629,13993.002,16714.87,12603.903,12535.992,10359.865,9303.376,14702.084,9581.831,10788.047,15504.441,14336.599,16498.893,13650.42,16029.556,10921.392,7179.844,16704.941,17721.398,12016.422,11708.185,9760.529,17317.404,15070.0205,12216.596,19248.645,13309.043,14425.111,13894.895,12415.603,15987.667,15722.139,15377.023,13397.598,12941.959,0,0,1221.8462,14782.336,16345.661,13956.94,11451.467,13890.802,16439.354,14114.973,14338.358
21,362.9262929,0.55186373,23020.219,14826.044,11845.889,21021.861,21322.734,5885.5625,22855.11,11609.962,24841.041,14103.888,18361.475,18734.164,25674.271,21957.73,21321.484,13498.051,23649.277,14624.931,21919.268,19386.342,18450.25,3631.8357,12323.673,18190.93,19023.932,22638.832,19194.117,21660.215,23853.6,16817.203,18805.166,16464.713,7884.633,22229.498,23196.043,9252.599,21068.941,21221.535,24987.271,20578.287,21012.145,16196.003,26431.129,18886.338,14195.3955,16162.926,10910.387,6487.553,1326.3649,0,0,20573.504,20747.139,16148.342,16393.432,19307.986,19743.303,16573.502,21077.521
22,90.9833888,0.5543858,6531.1895,6645.2837,6414.572,6674.9614,7771.4067,4314.051,9100.319,6849.252,7315.6743,5965.8203,8989.987,7953.4995,8491.969,5824.717,8730.181,6110.541,8736.571,6959.2573,9199.302,7794.018,5281.222,2995.285,5898.184,6045.5786,7198.2803,8566.511,9470.115,8170.3105,8894.398,6824.6343,5909.6396,6462.06,3666.8103,6767.124,9055.726,4341.972,7739.1865,8259.486,8233.592,8215.529,7201.1045,7398.149,6920.413,5121.9385,5230.197,5209.2935,3820.1604,3359.6821,0,0,0,6996.797,7351.361,6868.2466,8053.8965,7457.6553,6847.874,7214.322,6731.0293
23,158.9639916,0.552203,64651.547,37805.51,32587.783,50345.418,52364.016,26156.035,54563.453,48395.383,61637.51,43552.035,48890.906,46998.746,62116.418,52257.055,55609.64,42732.28,53128.957,45633.99,67221.625,49216.137,42815.53,17465.404,39357.7,47169.09,45723.324,57124.375,50485.63,54973.918,52418.945,39000.215,43591.953,41190.25,23090.504,55135.96,62349.508,28391.707,49400.04,51361.23,51675.33,56566.258,52057.4,46467.605,53156.914,46768.133,44192.953,44573.31,26383.543,23235.805,0,0,0,48567.97,48615.867,44524.543,47558.918,47987.145,49428.38,48647.867,50202.56
24,378.9002601,0.552798,16936.803,12861.714,13681.534,9241.209,11406.412,14004.478,12210.242,8735.184,13006.924,9515.444,13709.39,11464.373,8336.051,12760.071,13418.545,16299.542,13525.36,11549.905,8572.358,9095.633,12717.516,9544.801,9956.953,12385.976,12367.33,11291.494,10593.245,13563.497,11000.001,8613.849,12902.041,11425.828,12221.597,12026.626,11408.7295,18298.396,12861.024,11216.797,17081.527,10710.448,12538.718,11149.745,10446.27,12899,11133.794,13984.231,10321.906,11148.657,0,0,0,17240.281,14359.891,11497.254,13925.813,11243.402,14915.007,12203.9375,13335.444
25,226.9515781,0.5533698,159688.03,82834.18,71325.1,119496.164,141117.86,47134.42,152010.11,108696.85,151227.14,92647.234,103462.3,115715.87,148690.36,129556.31,140460.9,87255.984,135379.4,87254.2,158717.75,121278.8,87252.82,29571.488,87557.96,99459.875,113077.48,148593.53,121373.62,126016.305,134874.95,88048.13,82726.55,88792.13,54899.086,138054.66,148205.27,52854.555,132331.77,115232.82,129639.65,133671.44,109916.21,112433.48,133522,111820.69,83277.68,83789.77,47348.37,42557.29,4215.5283,8027.0396,3745.4722,116489.13,118240.37,105719.375,105114.6,105737.87,121176.71,115757.52,111062.14
26,125.9861865,0.57282376,0,0,0,0,1200.2595,3576.4165,2491.4917,3650.79,0,3252.1304,2014.5703,1814.6805,0,2480,0,0,1240.5813,3251.848,2828.075,1510.2217,1637.1309,3053.9849,1813.7604,1828.3318,1582.8076,0,2949.8633,1768.6954,2599.4832,2282.217,2036.564,0,2485.0422,0,0,4736.3145,0,4957.4424,4488.146,0,0,0,2039.4592,0,7747.443,0,3644.1196,0,48561.74,69978.25,54212.434,5675.4404,0,0,0,0,0,0,0
27,143.9589697,0.52417034,2174.5818,3244.086,1965.7795,1850.7335,3131.4172,1999.139,2876.668,2175.4,2336.99,1628.6056,2108.3857,2519.7463,2276.871,2122.2346,2198.76,1470.1481,1892.7865,2395.226,3393.1484,2038.0454,2228.7751,2062.133,2163.3428,1626.295,2480.1375,1553.131,6952.1323,2051.025,1795.8943,1977.2073,2218.3083,2246.019,1631.3086,1922.6641,1542.3572,1941.3368,2339.2058,1696.7147,2268.727,2413.1577,2757.0251,2147.5327,2269.9805,1877.1608,2295.776,3334.4246,2044.2932,2609.328,5504.046,7214.392,5734.515,2838.5735,2083.4282,1569.0345,2141.3674,2733.3677,2692.4678,1972.5614,1822.2704
28,156.0421068,0.55374664,11635.201,13049,16076.111,9774.494,12803.725,16278.424,8380.834,14485.228,9631.451,9942.964,8528.658,9516.237,10587.3545,11439.037,10326.923,14004.143,12198.767,11418.965,8265.573,14028.414,12858.437,16420.795,13312.796,10825.308,12418.687,9998.668,9419.357,10399.009,9186.33,10203.5205,11115.3125,12047.73,13202.366,9844.358,9706.056,12382.568,12533.572,6777.1304,14218.015,8596.165,11372.868,9709.215,12139.286,10358.295,12005.17,9261.102,15056.147,28878.045,10955.483,12853.557,13428.153,10418.489,14471.682,11705.236,12845.957,9648.682,12916.644,10579.66,12110.463
29,498.9010059,0.55121076,16091.583,9997.015,6064.355,16957.326,18023.266,4011.9265,16595.908,10133.306,16491.252,11053.106,12357.832,12422.1875,14525.504,12766.743,15284.881,9749.345,15091.36,9238.905,17881.799,13472.371,11234.957,2360.5522,11000.662,13601.465,11943.2705,15594.138,11307.188,12723.194,15542.327,9287.112,10510.429,11586.095,5899.947,14435.173,12985.809,6836.6353,16394.242,13078.068,14341.601,14224.458,14981.624,12641.531,17536.309,11144.878,11690.148,9479.965,7924.4746,4419.248,0,0,0,14429.716,13252.209,10956.882,10794.239,13189.532,13344.463,11512.816,15377.813
30,566.8884427,0.5512113,16653.998,8476.81,8242.0625,15018.35,15828.344,5171.017,14808.85,9001.36,16306.192,11242.101,14240.015,12638.05,16580.668,14620.505,16657.547,11772.479,16248.063,9361.393,17814.02,12611.984,9783.875,2748.158,9073.486,11765.076,12326.126,17354.574,13316.79,15757.086,17334.402,8795.281,8955.937,10199.025,5425.475,15183.687,16257.713,6329.811,15383.359,16242.02,14429.724,13688.426,16612.875,10874.2705,15307.674,12993.668,13253.748,10021.568,6367.207,3624.1616,0,0,0,10807.939,11749.519,15810.933,11647.843,11370.835,12769.074,12502.946,13636.148
31,90.9765373,0.55402917,115036.35,78275.08,72064.72,95034.26,103211.016,49108.547,112739.6,93901.28,95759.98,82231.35,97776.13,94280.484,96639.85,98855.02,106139.36,65156.426,95541.4,94186.2,104850.414,96537.73,81324.41,37168.727,80258.09,84286.71,83082.2,105086,103272.42,95756.4,109602.266,88495.31,79910.02,81401.64,49650.246,93877.914,107321.47,59618.684,95375.16,95149.38,103086.51,97009.6,85857.81,93867.43,94659.31,79245.58,64417.54,74904.49,47546.465,47149.723,8375.794,11495.602,7456.1714,95901.31,90950.68,92689.04,93916.875,88365.125,93577.15,88349.09,99089.52
32,242.9254501,0.5554416,71937.39,62714.133,72125.91,45595.316,49103.918,66586.23,47263.59,46893.06,59333.93,44394.938,54412.98,48161.926,50051.848,60051.145,50527.16,80829.234,55319.242,52162.78,36392.43,45501.945,55800.48,47034.44,58015.88,61000.57,57996.875,51438.035,52665.543,68600.62,51202.703,42179.586,52228.03,63436.85,59490.69,49490.273,48417.03,81471.555,68218.79,50324.15,81219.59,61996.695,57073.79,58518.957,52880.113,54617.945,54734.02,64419.11,47505.098,51920.867,1855.0092,3660.3704,3125.5002,56954.375,56050.074,52544.09,52523.83,53423.023,60656.66,62941.387,63483.184
33,394.8740589,0.5553784,5296.2656,6734.047,8668.197,2572.5703,2367.278,13701.2705,2323.7266,3901.84,3299.171,3018.5059,3595.3787,3509.926,2681.3726,3076.48,2694.2954,11787.068,3391.159,2832.6448,1617.0043,2613.1467,6200.9673,7733.0215,4092.8445,5282.9473,4176.7812,3180.4426,3796.1077,4784.754,3520.0234,4029.5837,5515.059,5434.927,7077.591,2987.9585,2434.7805,19601.324,4321.0386,3174.7883,9377.131,4601.1216,4724.126,3458.0986,2571.7605,4089.0864,6247.1724,4304.1963,5218.786,12223.258,0,0,0,3644.0225,5025.7456,4107.0483,6299.092,3584.4143,6125.9546,4532.885,5816.1455
34,634.8760443,0.5510122,14020.725,7328.839,6214.8965,11149.609,14956.872,2953.331,12669.903,10533.498,14146.36,7471.874,12527.063,13523.076,12795.167,9351.598,12051.596,7622.0166,12567.881,6736.0415,14304.378,11730.092,8759.698,1875.5557,6548.104,9631.357,8651.715,13234.928,9595.276,12529.842,13881.639,8314.205,9441.627,9459.443,4417.924,13122.134,13044.58,4494.0146,11798.761,10370.364,12309.224,9644.646,10317.126,9774.998,13056.396,9937.196,9359.524,7692.2305,5065.2334,2526.105,0,0,0,8259.416,9804.494,11951.721,8265.435,9938.839,10392.178,12067.125,11264.226
35,702.8633239,0.5510126,17800.662,9195.282,6789.305,16725.738,17217.66,3135.0305,18989.273,9385.073,13606.96,9462.569,14554.461,13106.793,17924.326,12463.624,13986.829,9993.254,16840.402,9166.665,16269.569,11118.751,11528.103,1266.8168,6584.042,13579.101,12305.502,14807.297,10839.374,14106.883,15570.712,7353.354,9687.08,9256.861,5006.445,12462.042,14883.729,4876.635,14419.162,13076.134,15550.233,14473.438,13597.237,9026.502,19770.648,11879.672,9049.475,8701.767,4529.8433,2511.955,0,0,0,11169.439,9754.52,12379.215,9981.22,10853.915,14510.22,12935.981,13648.643
36,854.8116071,0.5513101,7578.9287,6202.889,5581.9697,5721.092,5444.856,4756.764,5393.1714,4773.093,7281.0825,5438.878,5564.3613,6101.8066,4830.0127,4331.2393,6029.589,5473.463,5772.925,5382.1665,3498.9536,4551.381,6601.125,2017.5588,3302.1875,6967.617,5705.5913,5785.386,5644.2744,6616.855,4385.526,4197.193,4553.458,5417.9,5120.5015,4985.489,4243.0005,6035.698,6601.7935,5013.653,10167.85,5525.6924,6822.681,5509.8115,7774.5317,7310.197,5590.3413,7166.8613,3443.0183,3345.1602,0,0,0,7140.1416,6196.611,6823.4326,8184.719,7616.6147,6525.2217,6169.136,6905.0366
37,912.7813941,0.55436766,9162.415,3780.4324,3984.43,10157.3125,8431,1963.1868,8788.52,3469.0005,10067.196,5252.7236,8707.308,5529.3423,9016.821,6984.819,9285.121,5428.6714,12043.745,4690.69,9551.616,8127.2026,5405.1787,0,5153.22,5502.334,6670.497,7891.6826,6222.4077,6331.744,8078.6797,3037.1182,4726.907,6223.306,2790.6265,8211.862,6309.058,2024.0024,8070.634,7991.1387,7506.5605,7918.5366,6284.847,7027.025,12214.346,6208.534,4096.0054,4866.6807,2449.6692,1389.2666,0,0,0,10766.031,6810.4795,5758.7275,8789.011,6937.327,6210.9214,6378.563,8214.199
